"SKU","Name","ArteVenue Category","Price(Excluding tax)","Tax(in amt)","Length","Width","Quantity","Description","Image URL","Additional Information","Image Thumbnail URL"
"5260","SHEEP SUNSET","Landscape","1430.00","153.00","15.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 9; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 15.00; Acrylic covered; ",""
"5261","Ornaments and Rose II","Floral","7050.00","755.00","29.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 24; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 29.00; Acrylic covered; ",""
"5262","THE GREEN MAY","Landscape","2530.00","271.00","23.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 17; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 23.00; Acrylic covered; ",""
"5263","Mountaintop Retreat","Wildlife","5440.00","583.00","23.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 18; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 23.00; Acrylic covered; ",""
"5264","WILDER KAISER","Landscape","1020.00","109.00","12.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 6; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 12.00; Acrylic covered; ",""
"5265","Winged Victory","Abstract","7050.00","755.00","29.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 24; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 29.00; Acrylic covered; ",""
"5266","WINTER IN BELARUS","Landscape","1160.00","124.00","13.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 7; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 13.00; Acrylic covered; ",""
"5267","VALLEY IN CZECH REPUBLIC","Landscape","4900.00","525.00","21.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 16; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 21.00; Acrylic covered; ",""
"5268","City in the Rain","Figurative","2670.00","286.00","24.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 18; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 24.00; Acrylic covered; ",""
"5269","Coffee Lovers II","Signs","16690.00","1788.00","65.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 60; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 65.00; Acrylic covered; ",""
"5270","Paris Lights II - Arches II","European","3490.00","374.00","30.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 24; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 30.00; Acrylic covered; ",""
"5271","Infused I","Abstract","19910.00","2133.00","77.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 72; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 77.00; Acrylic covered; ",""
"5272","Magnolias","Floral","1290.00","138.00","14.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 8; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 14.00; Acrylic covered; ",""
"5273","Hello London","European","2760.00","296.00","13.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 8; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 13.00; Acrylic covered; ",""
"5274","Suns Up","Landscape","880.00","94.00","11.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 5; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 11.00; Acrylic covered; ",""
"5275","Birch Grove East","Abstract","7050.00","755.00","29.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 24; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 29.00; Acrylic covered; ",""
"5276","Tuscan Evening","European","2940.00","315.00","26.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 20; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 26.00; Acrylic covered; ",""
"5277","Fields Of Lavender","European","5440.00","583.00","23.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 18; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 23.00; Acrylic covered; ",""
"5278","Chianti Dusk","European","1430.00","153.00","15.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 9; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 15.00; Acrylic covered; ",""
"5279","Chianti Vineyards","European","5440.00","583.00","23.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 18; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 23.00; Acrylic covered; ",""
"5280","Tuscany Vines","European","1430.00","153.00","15.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 9; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 15.00; Acrylic covered; ",""
"5281","Fall Promenade I Crop","Landscape","5710.00","612.00","24.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 19; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 24.00; Acrylic covered; ",""
"5282","And Morning Comes","Landscape","1570.00","168.00","16.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 10; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 16.00; Acrylic covered; ",""
"5283","Hot Summer Day I","Landscape","4900.00","525.00","21.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 16; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 21.00; Acrylic covered; ",""
"5284","Across the Tall Grass I","Abstract","1840.00","197.00","18.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 12; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 18.00; Acrylic covered; ",""
"5285","Across the Tall Grass II","Abstract","7050.00","755.00","29.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 24; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 29.00; Acrylic covered; ",""
"5286","Open Range I","Abstract","1570.00","168.00","16.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 10; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 16.00; Acrylic covered; ",""
"5287","Purple Mountain View II","Landscape","4900.00","525.00","21.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 16; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 21.00; Acrylic covered; ",""
"5288","Warm Morning Light","Landscape","1020.00","109.00","12.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 6; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 12.00; Acrylic covered; ",""
"5289","Past Prime","Landscape","3830.00","410.00","17.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 12; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 17.00; Acrylic covered; ",""
"5290","Sunbathed Oak II","Landscape","2390.00","256.00","22.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 16; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 22.00; Acrylic covered; ",""
"5291","Coming Home Neutral","Abstract","4900.00","525.00","21.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 16; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 21.00; Acrylic covered; ",""
"5292","Kaleidoscope Bright Blue","Landscape","1290.00","138.00","14.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 8; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 14.00; Acrylic covered; ",""
"5293","Easter Kitties I","Animals","7050.00","755.00","29.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 24; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 29.00; Acrylic covered; ",""
"5294","Floral composition on a table","Floral","7050.00","755.00","29.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 24; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 29.00; Acrylic covered; ",""
"5295","Jungle III","Abstract","1840.00","197.00","18.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 12; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 18.00; Acrylic covered; ",""
"5296","Jungle IV","Abstract","7050.00","755.00","29.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 24; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 29.00; Acrylic covered; ",""
"5297","Waterlilies: Green Reflections (detail)","European","1840.00","197.00","18.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 12; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 18.00; Acrylic covered; ",""
"5298","Floral Fireworks I","Abstract","7050.00","755.00","29.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 24; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 29.00; Acrylic covered; ",""
"5299","Floral Fireworks II","Abstract","1840.00","197.00","18.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 12; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 18.00; Acrylic covered; ",""
"5300","Toile Fleurs I","Floral","7050.00","755.00","29.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 24; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 29.00; Acrylic covered; ",""
"5301","Toile Fleurs II","Floral","1840.00","197.00","18.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 12; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 18.00; Acrylic covered; ",""
"5302","Margherite in fiore","Floral","7050.00","755.00","29.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 24; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 29.00; Acrylic covered; ",""
"5303","Nel vento I","Floral","1840.00","197.00","18.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 12; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 18.00; Acrylic covered; ",""
"5304","Nel vento II","Floral","7050.00","755.00","29.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 24; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 29.00; Acrylic covered; ",""
"5305","Campo fiorito (dettaglio)","Floral","1840.00","197.00","18.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 12; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 18.00; Acrylic covered; ",""
"5306","Jungle I","Abstract","3830.00","410.00","17.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 12; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 17.00; Acrylic covered; ",""
